,name,code,sector,series_id,units,year,value,source
3,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,2.934,Coal
4,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,3.791,Coal
5,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,3.906,Coal
6,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,4.106,Coal
7,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2011,5.819,Coal
8,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2010,6.567,Coal
9,"Coal Commercial Sector CO2 Emissions, Annual",CLCCEUS,Commercial,TOTAL.CLCCEUS.A,Million Metric Tons of Carbon Dioxide,2009,6.916,Coal
46,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2018,24.77,Distillate Fuel Oil
47,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2017,23.606,Distillate Fuel Oil
48,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2016,23.859,Distillate Fuel Oil
49,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2015,26.336,Distillate Fuel Oil
50,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2014,26.08,Distillate Fuel Oil
51,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2013,25.13,Distillate Fuel Oil
52,"Distillate Fuel Oil Commercial Sector CO2 Emissions, Annual",DFCCEUS,Commercial,TOTAL.DFCCEUS.A,Million Metric Tons of Carbon Dioxide,2012,25.98,Distillate Fuel Oil
